ID,CPURL,RCPURL,SLURL
4113,http://careerplus.shine.com/skill-courses/big-data-and-hadoop-developer-online-training/pd4113.html,/skill-courses/big-data-and-hadoop-developer-online-training/pd4113.html,https://learning.shine.com/course/it-information-technology/big-data-and-hadoop-developer/pd-1417
4625,http://careerplus.shine.com/skill-courses/it-project-management-essentials-with-getcertgo-ce/pd4625.html,/skill-courses/it-project-management-essentials-with-getcertgo-ce/pd4625.html,
4881,http://careerplus.shine.com/skill-courses/internet-security-auditor/pd4881.html,/skill-courses/internet-security-auditor/pd4881.html,
787,http://careerplus.shine.com/skill-courses/vskills-certified-apache-couchdb-professional/pd787.html,/skill-courses/vskills-certified-apache-couchdb-professional/pd787.html,https://learning.shine.com/course/it-information-technology/apache-couchdb-professional/pd-296
4627,http://careerplus.shine.com/skill-courses/marketing-essentials-with-getcertgo-certification/pd4627.html,/skill-courses/marketing-essentials-with-getcertgo-certification/pd4627.html,
4883,http://careerplus.shine.com/skill-courses/certified-ethical-hacker-2/pd4883.html,/skill-courses/certified-ethical-hacker-2/pd4883.html,https://learning.shine.com/course/None/certified-ethical-hacker-2/pd-1719
789,http://careerplus.shine.com/skill-courses/vskills-certified-apache-cassandra-professional/pd789.html,/skill-courses/vskills-certified-apache-cassandra-professional/pd789.html,https://learning.shine.com/course/it-information-technology/apache-cassandra-2/pd-297
1557,http://careerplus.shine.com/skill-courses/vskills-certified-android-apps-developer/pd1557.html,/skill-courses/vskills-certified-android-apps-developer/pd1557.html,https://learning.shine.com/course/it-information-technology/android-apps-developer/pd-2136
4629,http://careerplus.shine.com/skill-courses/budgeting-essentials-with-getcertgo-certification/pd4629.html,/skill-courses/budgeting-essentials-with-getcertgo-certification/pd4629.html,https://learning.shine.com/course/management/budgeting-essentials-2/pd-1614
4885,http://careerplus.shine.com/skill-courses/developing-apple-watch-applications/pd4885.html,/skill-courses/developing-apple-watch-applications/pd4885.html,https://learning.shine.com/course/it-information-technology/apple-watch-applications/pd-1720
23,http://careerplus.shine.com/resume-showcase/featured-profile-2/pd23.html,/resume-showcase/featured-profile-2/pd23.html,
791,http://careerplus.shine.com/skill-courses/vskills-certified-blackberry-apps-developer/pd791.html,/skill-courses/vskills-certified-blackberry-apps-developer/pd791.html,https://learning.shine.com/course/it-information-technology/blackberry-apps-developer/pd-298
1559,http://careerplus.shine.com/skill-courses/certified-business-communication-specialist-2/pd1559.html,/skill-courses/certified-business-communication-specialist-2/pd1559.html,https://learning.shine.com/course/personal-development/business-communication-specialist/pd-2138
4375,http://careerplus.shine.com/skill-courses/registration-fee-for-acca-dipifrs/pd4375.html,/skill-courses/registration-fee-for-acca-dipifrs/pd4375.html,
4631,http://careerplus.shine.com/skill-courses/certified-manager-for-quality-and-organizational-2/pd4631.html,/skill-courses/certified-manager-for-quality-and-organizational-2/pd4631.html,
4887,http://careerplus.shine.com/skill-courses/selenium-automated-web-testing/pd4887.html,/skill-courses/selenium-automated-web-testing/pd4887.html,https://learning.shine.com/course/None/selenium-automated-web-testing/pd-1721
793,http://careerplus.shine.com/skill-courses/vskills-certified-wordpress-developer/pd793.html,/skill-courses/vskills-certified-wordpress-developer/pd793.html,https://learning.shine.com/course/it-information-technology/wordpress-developer/pd-299
1561,http://careerplus.shine.com/skill-courses/vskills-certified-business-law-analyst/pd1561.html,/skill-courses/vskills-certified-business-law-analyst/pd1561.html,https://learning.shine.com/course/law/business-law-analyst/pd-647
4377,http://careerplus.shine.com/resume-writing/premium-resume-writing-service/pd4377.html,/resume-writing/premium-resume-writing-service/pd4377.html,
